Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
DALY GROVE,53.449537,-113.400727,Assault,July,2016,Q3,131.0,236.0,100.0,91.0,103.0,108.0,176.0,1092.0,159.0,246.0,43.0,951.0,76.0,169.0,189.0,99.0,51.0,35.0,10.0,5.0,541.0,1,1.904
JASPER PARK,53.52307,-113.584105,Assault,May,2016,Q2,61.0,67.0,25.0,29.0,30.0,37.0,90.0,512.0,53.0,189.0,40.0,622.0,104.0,127.0,118.0,27.0,25.0,12.0,6.0,6.0,412.0,2,1.61
QUEEN ALEXANDRA,53.51222,-113.504812,Sexual Assaults,June,2016,Q2,111.0,103.0,40.0,39.0,367.0,40.0,275.0,1560.0,214.0,355.0,29.0,2025.0,365.0,465.0,427.0,175.0,85.0,72.0,21.0,19.0,1261.0,1,2.094
BANNERMAN,53.60395,-113.378624,Sexual Assaults,March,2016,Q1,181.0,265.0,108.0,101.0,55.0,66.0,242.0,1072.0,217.0,293.0,70.0,359.0,172.0,239.0,280.0,111.0,43.0,41.0,9.0,7.0,255.0,1,1.286
RURAL NORTH EAST HORSE HILL,53.678364,-113.312513,Assault,April,2016,Q2,8.0,9.0,1.0,2.0,2.0,3.0,4.0,21.0,1.0,14.0,3.0,527.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,123.0,2,1.666
THORNCLIFF,53.516698,-113.622828,Assault,January,2016,Q1,137.0,203.0,94.0,75.0,67.0,70.0,146.0,967.0,137.0,258.0,51.0,1349.0,45.0,96.0,84.0,32.0,27.0,14.0,6.0,5.0,956.0,1,2.162
NEWTON,53.576424,-113.424532,Sexual Assaults,April,2016,Q2,103.0,122.0,58.0,49.0,52.0,77.0,138.0,814.0,131.0,381.0,48.0,843.0,137.0,191.0,162.0,59.0,41.0,23.0,4.0,5.0,528.0,1,1.142
CARLISLE,53.60352,-113.525915,Assault,April,2016,Q2,198.0,289.0,101.0,86.0,102.0,117.0,165.0,1057.0,211.0,340.0,32.0,1054.0,133.0,270.0,250.0,87.0,59.0,36.0,9.0,7.0,510.0,1,1.13
CANON RIDGE,53.578789,-113.379217,Assault,April,2016,Q2,119.0,116.0,34.0,17.0,39.0,27.0,61.0,867.0,200.0,198.0,9.0,460.0,27.0,125.0,139.0,109.0,72.0,31.0,9.0,1.0,516.0,2,1.342
QUEEN MARY PARK,53.553321,-113.519654,Assault,August,2016,Q3,230.0,164.0,57.0,44.0,332.0,96.0,356.0,1971.0,510.0,376.0,119.0,2691.0,587.0,488.0,294.0,92.0,55.0,43.0,10.0,11.0,2367.0,7,6.234
SUMMERLEA,53.525627,-113.622633,Robbery,May,2016,Q2,51.0,73.0,36.0,48.0,52.0,38.0,97.0,592.0,82.0,314.0,33.0,615.0,94.0,194.0,157.0,42.0,36.0,23.0,12.0,4.0,354.0,1,2.592
CENTRAL MCDOUGALL,53.553332,-113.501068,Assault,July,2016,Q3,155.0,121.0,30.0,27.0,145.0,89.0,279.0,1249.0,325.0,238.0,160.0,2093.0,610.0,435.0,172.0,32.0,17.0,7.0,2.0,4.0,1714.0,11,16.186
GRANVILLE,53.504872,-113.682797,Sexual Assaults,June,2016,Q2,115.0,114.0,39.0,28.0,17.0,49.0,57.0,541.0,34.0,49.0,8.0,518.0,7.0,28.0,77.0,74.0,63.0,58.0,18.0,17.0,261.0,1,1.044
HOMESTEADER,53.58472,-113.406459,Assault,June,2016,Q2,208.0,311.0,126.0,88.0,70.0,104.0,174.0,985.0,185.0,299.0,49.0,946.0,126.0,242.0,222.0,81.0,45.0,24.0,14.0,6.0,513.0,2,2.362
BALWIN,53.587951,-113.455075,Assault,July,2016,Q3,192.0,240.0,85.0,74.0,65.0,81.0,206.0,823.0,303.0,382.0,76.0,1295.0,321.0,282.0,175.0,53.0,35.0,12.0,8.0,4.0,654.0,3,3.026
UNIVERSITY OF ALBERTA,53.523577,-113.522847,Assault,February,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.314
WESTWOOD,53.575942,-113.498585,Robbery,March,2016,Q1,61.0,58.0,15.0,5.0,99.0,39.0,154.0,780.0,271.0,188.0,101.0,1346.0,381.0,321.0,124.0,36.0,22.0,14.0,2.0,3.0,924.0,2,1.78
QUEEN ALEXANDRA,53.51222,-113.504812,Robbery,July,2016,Q3,111.0,103.0,40.0,39.0,367.0,40.0,275.0,1560.0,214.0,355.0,29.0,2025.0,365.0,465.0,427.0,175.0,85.0,72.0,21.0,19.0,1261.0,2,1.778
KILLARNEY,53.588489,-113.479568,Robbery,May,2016,Q2,265.0,262.0,97.0,70.0,66.0,196.0,145.0,1052.0,244.0,310.0,63.0,1582.0,179.0,284.0,216.0,64.0,29.0,11.0,4.0,2.0,905.0,1,1.96
CALLINGWOOD SOUTH,53.500515,-113.623031,Assault,February,2016,Q1,237.0,250.0,88.0,67.0,61.0,93.0,221.0,1200.0,241.0,447.0,61.0,2542.0,265.0,439.0,344.0,89.0,29.0,16.0,7.0,4.0,1646.0,6,3.256
EDMONTON NORTHLANDS,53.568372,-113.456446,Assault,November,2016,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.416
MINCHAU,53.469829,-113.412766,Assault,March,2016,Q1,57.0,106.0,53.0,37.0,35.0,38.0,86.0,484.0,60.0,170.0,15.0,1990.0,19.0,59.0,79.0,42.0,27.0,21.0,4.0,3.0,823.0,1,1.638
GOODRIDGE CORNERS,53.642395,-113.558741,Assault,April,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14,10.624
RAPPERSWILL,53.635411,-113.535029,Assault,April,2016,Q2,94.0,97.0,36.0,28.0,28.0,25.0,61.0,453.0,32.0,30.0,2.0,1141.0,3.0,46.0,127.0,73.0,64.0,50.0,14.0,18.0,337.0,1,1.066
