Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
WEST JASPER PLACE,53.53663,-113.584144,Robbery,April,2016,Q2,85.0,80.0,32.0,38.0,41.0,89.0,139.0,770.0,148.0,268.0,40.0,1338.0,169.0,309.0,83.0,27.0,22.0,14.0,7.0,4.0,839.0,1,2.154
BELVEDERE,53.591057,-113.436063,Assault,July,2016,Q3,189.0,227.0,98.0,93.0,99.0,115.0,209.0,1112.0,219.0,508.0,103.0,2197.0,343.0,326.0,239.0,74.0,38.0,20.0,10.0,6.0,1319.0,4,5.832
DOWNTOWN,53.539767,-113.499421,Robbery,August,2016,Q3,105.0,52.0,17.0,18.0,883.0,80.0,369.0,3736.0,346.0,1066.0,118.0,5978.0,972.0,994.0,1093.0,425.0,199.0,198.0,68.0,81.0,4660.0,9,11.448
EVANSDALE,53.610841,-113.479569,Assault,June,2016,Q2,332.0,400.0,158.0,122.0,97.0,199.0,257.0,1295.0,254.0,656.0,84.0,1950.0,298.0,460.0,223.0,75.0,44.0,26.0,11.0,5.0,974.0,1,1.96
KENILWORTH,53.521633,-113.431042,Assault,August,2016,Q3,73.0,92.0,64.0,57.0,54.0,38.0,121.0,794.0,119.0,483.0,27.0,631.0,84.0,226.0,226.0,64.0,43.0,41.0,15.0,9.0,345.0,1,2.06
WESTWOOD,53.575942,-113.498585,Sexual Assaults,June,2016,Q2,61.0,58.0,15.0,5.0,99.0,39.0,154.0,780.0,271.0,188.0,101.0,1346.0,381.0,321.0,124.0,36.0,22.0,14.0,2.0,3.0,924.0,2,1.388
SIFTON PARK,53.594525,-113.408402,Assault,April,2016,Q2,66.0,95.0,30.0,21.0,25.0,26.0,59.0,337.0,85.0,110.0,28.0,1182.0,40.0,33.0,54.0,12.0,9.0,7.0,2.0,1.0,646.0,1,1.366
PARSONS INDUSTRIAL,53.459795,-113.479382,Assault,August,2016,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.664
OVERLANDERS,53.581011,-113.388176,Assault,February,2016,Q1,156.0,188.0,57.0,39.0,35.0,56.0,115.0,834.0,188.0,183.0,38.0,1048.0,129.0,207.0,192.0,60.0,38.0,20.0,3.0,7.0,571.0,1,1.702
DUNLUCE,53.621473,-113.530183,Assault,June,2016,Q2,236.0,341.0,165.0,138.0,117.0,145.0,301.0,1677.0,250.0,514.0,79.0,2360.0,203.0,317.0,312.0,122.0,69.0,60.0,10.0,8.0,1286.0,1,2.98
CAPILANO,53.554672,-113.422792,Sexual Assaults,May,2016,Q2,78.0,93.0,46.0,49.0,66.0,48.0,166.0,961.0,83.0,490.0,20.0,434.0,40.0,115.0,126.0,84.0,65.0,65.0,28.0,30.0,527.0,1,1.032
DELTON,53.579046,-113.482449,Assault,September,2016,Q3,66.0,84.0,43.0,38.0,38.0,55.0,121.0,646.0,114.0,190.0,35.0,558.0,145.0,155.0,149.0,42.0,26.0,23.0,6.0,3.0,298.0,1,1.32
DELWOOD,53.595949,-113.45513,Assault,November,2016,Q4,103.0,161.0,79.0,56.0,45.0,59.0,142.0,764.0,120.0,588.0,39.0,1157.0,113.0,194.0,146.0,71.0,35.0,40.0,10.0,4.0,723.0,3,1.76
STRATHCONA,53.52239,-113.490986,Assault,June,2016,Q2,205.0,166.0,70.0,69.0,494.0,123.0,490.0,2787.0,290.0,627.0,58.0,3594.0,488.0,651.0,664.0,290.0,149.0,147.0,76.0,92.0,2748.0,9,8.246
CALLINGWOOD SOUTH,53.500515,-113.623031,Robbery,July,2016,Q3,237.0,250.0,88.0,67.0,61.0,93.0,221.0,1200.0,241.0,447.0,61.0,2542.0,265.0,439.0,344.0,89.0,29.0,16.0,7.0,4.0,1646.0,1,2.008
MACEWAN,53.428746,-113.526948,Assault,July,2016,Q3,260.0,364.0,123.0,106.0,189.0,133.0,253.0,2025.0,191.0,364.0,30.0,1436.0,69.0,274.0,360.0,187.0,128.0,104.0,37.0,11.0,1064.0,2,1.4
GIRARD INDUSTRIAL,53.51117,-113.437724,Robbery,May,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.03
CANON RIDGE,53.578789,-113.379217,Assault,March,2016,Q1,119.0,116.0,34.0,17.0,39.0,27.0,61.0,867.0,200.0,198.0,9.0,460.0,27.0,125.0,139.0,109.0,72.0,31.0,9.0,1.0,516.0,1,1.37
ALBERTA AVENUE,53.568485,-113.485119,Assault,September,2016,Q3,246.0,301.0,102.0,109.0,155.0,156.0,435.0,1861.0,369.0,508.0,171.0,2342.0,601.0,667.0,364.0,139.0,62.0,61.0,11.0,4.0,1138.0,11,10.604
MACEWAN,53.428746,-113.526948,Sexual Assaults,July,2016,Q3,260.0,364.0,123.0,106.0,189.0,133.0,253.0,2025.0,191.0,364.0,30.0,1436.0,69.0,274.0,360.0,187.0,128.0,104.0,37.0,11.0,1064.0,2,1.45
KINISKI GARDENS,53.475924,-113.403303,Assault,June,2016,Q2,246.0,342.0,190.0,169.0,168.0,160.0,313.0,2025.0,254.0,349.0,57.0,1807.0,72.0,238.0,424.0,209.0,121.0,101.0,42.0,30.0,953.0,1,1.406
NORTHMOUNT,53.603205,-113.479629,Assault,February,2016,Q1,83.0,132.0,64.0,54.0,47.0,65.0,121.0,580.0,97.0,519.0,21.0,1409.0,65.0,125.0,129.0,57.0,24.0,25.0,7.0,3.0,866.0,2,2.744
MCCONACHIE AREA,53.636453,-113.431313,Assault,May,2016,Q2,424.0,291.0,98.0,83.0,56.0,142.0,112.0,1370.0,104.0,113.0,4.0,2144.0,53.0,180.0,325.0,243.0,148.0,145.0,39.0,19.0,766.0,1,1.408
BRITANNIA YOUNGSTOWN,53.546295,-113.60151,Robbery,October,2016,Q4,156.0,159.0,65.0,55.0,69.0,70.0,192.0,1104.0,253.0,370.0,104.0,2142.0,207.0,223.0,190.0,67.0,31.0,17.0,2.0,5.0,1475.0,2,2.036
PLEASANTVIEW,53.493176,-113.507131,Assault,August,2016,Q3,149.0,135.0,65.0,56.0,128.0,65.0,216.0,1119.0,146.0,605.0,28.0,1190.0,348.0,332.0,261.0,83.0,46.0,45.0,21.0,21.0,821.0,1,1.988
CROMDALE,53.559061,-113.469043,Assault,November,2016,Q4,131.0,72.0,26.0,13.0,71.0,37.0,82.0,614.0,169.0,176.0,40.0,628.0,168.0,133.0,74.0,21.0,11.0,9.0,11.0,8.0,666.0,3,3.57
CALGARY TRAIL SOUTH,53.471191,-113.493532,Assault,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.382
GARNEAU,53.519911,-113.513536,Sexual Assaults,December,2016,Q4,109.0,105.0,24.0,17.0,1621.0,60.0,268.0,1732.0,287.0,538.0,45.0,4984.0,1044.0,523.0,423.0,132.0,78.0,89.0,33.0,61.0,3183.0,1,1.356
CANON RIDGE,53.578789,-113.379217,Sexual Assaults,May,2016,Q2,119.0,116.0,34.0,17.0,39.0,27.0,61.0,867.0,200.0,198.0,9.0,460.0,27.0,125.0,139.0,109.0,72.0,31.0,9.0,1.0,516.0,1,1.082
HAIRSINE,53.603838,-113.390923,Sexual Assaults,August,2016,Q3,117.0,151.0,62.0,86.0,49.0,61.0,146.0,815.0,137.0,194.0,34.0,582.0,109.0,197.0,141.0,57.0,30.0,22.0,5.0,1.0,406.0,2,1.114
OXFORD,53.622198,-113.547292,Assault,September,2016,Q3,166.0,275.0,130.0,133.0,159.0,116.0,196.0,1327.0,126.0,388.0,23.0,999.0,24.0,116.0,230.0,138.0,95.0,91.0,24.0,26.0,589.0,1,1.364
DOVERCOURT,53.575727,-113.559534,Assault,March,2016,Q1,86.0,125.0,39.0,31.0,22.0,36.0,118.0,782.0,94.0,254.0,26.0,502.0,61.0,160.0,159.0,87.0,45.0,48.0,15.0,6.0,285.0,2,1.158
HIGH PARK,53.554986,-113.584199,Assault,January,2016,Q1,17.0,18.0,22.0,17.0,14.0,21.0,38.0,223.0,41.0,155.0,14.0,758.0,42.0,61.0,50.0,34.0,13.0,7.0,3.0,3.0,450.0,3,2.198
ALDERGROVE,53.516888,-113.641242,Sexual Assaults,November,2016,Q4,290.0,348.0,126.0,108.0,168.0,113.0,271.0,1711.0,223.0,451.0,61.0,1110.0,119.0,266.0,284.0,135.0,72.0,49.0,22.0,12.0,952.0,1,1.46
THE HAMPTONS,53.487386,-113.675687,Assault,February,2016,Q1,873.0,1100.0,353.0,249.0,238.0,389.0,562.0,4177.0,292.0,273.0,23.0,3031.0,67.0,327.0,695.0,491.0,287.0,309.0,126.0,61.0,1640.0,1,1.248
SUMMERLEA,53.525627,-113.622633,Sexual Assaults,September,2016,Q3,51.0,73.0,36.0,48.0,52.0,38.0,97.0,592.0,82.0,314.0,33.0,615.0,94.0,194.0,157.0,42.0,36.0,23.0,12.0,4.0,354.0,1,2.08
MONTROSE,53.575116,-113.44223,Sexual Assaults,February,2016,Q1,110.0,131.0,83.0,61.0,47.0,48.0,128.0,1013.0,162.0,346.0,76.0,1104.0,171.0,236.0,224.0,74.0,19.0,18.0,8.0,4.0,712.0,1,1.452
BOYLE STREET,53.547631,-113.479263,Assault,November,2016,Q4,121.0,111.0,36.0,31.0,151.0,54.0,300.0,1393.0,516.0,691.0,258.0,3078.0,826.0,487.0,303.0,87.0,41.0,32.0,10.0,14.0,2172.0,10,10.944
WOODCROFT,53.564595,-113.558327,Assault,August,2016,Q3,76.0,88.0,40.0,35.0,56.0,30.0,96.0,522.0,63.0,579.0,36.0,523.0,214.0,121.0,107.0,32.0,24.0,29.0,6.0,5.0,642.0,1,2.708
SOUTHEAST INDUSTRIAL,53.499715,-113.374605,Assault,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.268
BATURYN,53.63098,-113.504339,Assault,November,2016,Q4,152.0,248.0,130.0,108.0,102.0,122.0,192.0,1339.0,170.0,531.0,52.0,1772.0,33.0,138.0,202.0,101.0,46.0,26.0,7.0,4.0,1191.0,2,1.286
EASTWOOD,53.576105,-113.46873,Sexual Assaults,November,2016,Q4,123.0,144.0,68.0,62.0,66.0,73.0,138.0,857.0,229.0,379.0,142.0,1734.0,341.0,306.0,173.0,42.0,12.0,12.0,4.0,1.0,1006.0,1,3.792
CALLINGWOOD NORTH,53.507598,-113.623025,Robbery,September,2016,Q3,152.0,167.0,56.0,37.0,56.0,52.0,117.0,882.0,134.0,177.0,29.0,517.0,126.0,247.0,207.0,50.0,14.0,8.0,5.0,2.0,450.0,1,1.486
BELVEDERE,53.591057,-113.436063,Robbery,February,2016,Q1,189.0,227.0,98.0,93.0,99.0,115.0,209.0,1112.0,219.0,508.0,103.0,2197.0,343.0,326.0,239.0,74.0,38.0,20.0,10.0,6.0,1319.0,1,1.872
CANON RIDGE,53.578789,-113.379217,Assault,February,2016,Q1,119.0,116.0,34.0,17.0,39.0,27.0,61.0,867.0,200.0,198.0,9.0,460.0,27.0,125.0,139.0,109.0,72.0,31.0,9.0,1.0,516.0,1,1.366
BEACON HEIGHTS,53.573539,-113.40604,Assault,July,2016,Q3,127.0,139.0,75.0,52.0,34.0,73.0,157.0,1021.0,248.0,421.0,70.0,470.0,142.0,152.0,190.0,62.0,33.0,24.0,6.0,3.0,591.0,4,3.13
CASHMAN,53.417458,-113.500695,Assault,September,2016,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.502
SUMMERSIDE,53.417528,-113.461227,Assault,April,2016,Q2,967.0,1157.0,348.0,273.0,307.0,398.0,491.0,4517.0,368.0,354.0,41.0,4139.0,82.0,332.0,735.0,498.0,355.0,393.0,133.0,130.0,1833.0,4,3.274
MONTROSE,53.575116,-113.44223,Robbery,April,2016,Q2,110.0,131.0,83.0,61.0,47.0,48.0,128.0,1013.0,162.0,346.0,76.0,1104.0,171.0,236.0,224.0,74.0,19.0,18.0,8.0,4.0,712.0,2,1.458
GREENVIEW,53.475394,-113.42781,Assault,January,2016,Q1,103.0,165.0,98.0,81.0,86.0,84.0,150.0,805.0,91.0,285.0,29.0,666.0,74.0,147.0,159.0,89.0,43.0,50.0,20.0,16.0,357.0,1,1.432
ANTHONY HENDAY RAMPART,53.627497,-113.576375,Assault,December,2016,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.012
INGLEWOOD,53.564606,-113.540852,Robbery,December,2016,Q4,190.0,237.0,70.0,47.0,129.0,58.0,366.0,2108.0,329.0,642.0,157.0,1589.0,521.0,536.0,305.0,178.0,188.0,180.0,97.0,98.0,1362.0,3,2.112
DELWOOD,53.595949,-113.45513,Assault,August,2016,Q3,103.0,161.0,79.0,56.0,45.0,59.0,142.0,764.0,120.0,588.0,39.0,1157.0,113.0,194.0,146.0,71.0,35.0,40.0,10.0,4.0,723.0,1,1.818
CASSELMAN,53.611349,-113.424132,Assault,March,2016,Q1,234.0,243.0,121.0,113.0,115.0,100.0,199.0,1267.0,153.0,337.0,63.0,700.0,175.0,283.0,265.0,93.0,55.0,33.0,14.0,2.0,467.0,2,1.552
EASTWOOD,53.576105,-113.46873,Robbery,July,2016,Q3,123.0,144.0,68.0,62.0,66.0,73.0,138.0,857.0,229.0,379.0,142.0,1734.0,341.0,306.0,173.0,42.0,12.0,12.0,4.0,1.0,1006.0,4,3.736
EASTGATE BUSINESS PARK,53.534014,-113.406351,Assault,September,2016,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.764
BRITANNIA YOUNGSTOWN,53.546295,-113.60151,Assault,March,2016,Q1,156.0,159.0,65.0,55.0,69.0,70.0,192.0,1104.0,253.0,370.0,104.0,2142.0,207.0,223.0,190.0,67.0,31.0,17.0,2.0,5.0,1475.0,3,4.652
MEYOKUMIN,53.450113,-113.427258,Assault,August,2016,Q3,103.0,182.0,83.0,65.0,58.0,62.0,156.0,778.0,122.0,244.0,34.0,1133.0,63.0,171.0,168.0,79.0,38.0,31.0,7.0,3.0,455.0,4,2.032
UNIVERSITY OF ALBERTA,53.523577,-113.522847,Assault,May,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.168
CLAREVIEW TOWN CENTRE,53.601948,-113.406891,Assault,July,2016,Q3,142.0,137.0,49.0,33.0,140.0,70.0,172.0,888.0,129.0,93.0,20.0,1462.0,99.0,161.0,190.0,92.0,31.0,24.0,7.0,4.0,814.0,3,2.262
THE HAMPTONS,53.487386,-113.675687,Robbery,July,2016,Q3,873.0,1100.0,353.0,249.0,238.0,389.0,562.0,4177.0,292.0,273.0,23.0,3031.0,67.0,327.0,695.0,491.0,287.0,309.0,126.0,61.0,1640.0,1,1.152
HOLLICK-KENYON,53.622244,-113.422288,Assault,March,2016,Q1,390.0,502.0,197.0,178.0,195.0,193.0,319.0,2025.0,191.0,350.0,39.0,1557.0,81.0,255.0,384.0,233.0,125.0,145.0,54.0,32.0,765.0,1,1.434
GIRARD INDUSTRIAL,53.51117,-113.437724,Robbery,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.032
CLAREVIEW TOWN CENTRE,53.601948,-113.406891,Sexual Assaults,August,2016,Q3,142.0,137.0,49.0,33.0,140.0,70.0,172.0,888.0,129.0,93.0,20.0,1462.0,99.0,161.0,190.0,92.0,31.0,24.0,7.0,4.0,814.0,1,1.25
MEYOKUMIN,53.450113,-113.427258,Robbery,September,2016,Q3,103.0,182.0,83.0,65.0,58.0,62.0,156.0,778.0,122.0,244.0,34.0,1133.0,63.0,171.0,168.0,79.0,38.0,31.0,7.0,3.0,455.0,1,1.404
EMPIRE PARK,53.484366,-113.505859,Assault,February,2016,Q1,194.0,204.0,83.0,76.0,401.0,113.0,236.0,1340.0,204.0,377.0,48.0,1626.0,128.0,385.0,345.0,79.0,19.0,10.0,3.0,1.0,1330.0,8,3.358
HADDOW,53.45475,-113.596489,Robbery,September,2016,Q3,186.0,349.0,158.0,141.0,166.0,164.0,188.0,1282.0,106.0,476.0,17.0,959.0,49.0,97.0,171.0,129.0,93.0,146.0,72.0,110.0,681.0,1,1.042
BISSET,53.458905,-113.400659,Assault,April,2016,Q2,194.0,234.0,106.0,83.0,94.0,111.0,204.0,1123.0,224.0,281.0,45.0,1247.0,74.0,189.0,183.0,62.0,42.0,27.0,5.0,7.0,782.0,2,1.538
ATHLONE,53.588026,-113.550982,Sexual Assaults,October,2016,Q4,90.0,147.0,74.0,76.0,100.0,65.0,175.0,954.0,112.0,280.0,34.0,1051.0,101.0,170.0,203.0,81.0,55.0,46.0,7.0,10.0,475.0,1,1.132
HOLLICK-KENYON,53.622244,-113.422288,Assault,October,2016,Q4,390.0,502.0,197.0,178.0,195.0,193.0,319.0,2025.0,191.0,350.0,39.0,1557.0,81.0,255.0,384.0,233.0,125.0,145.0,54.0,32.0,765.0,1,1.41
TAWA,53.461933,-113.427712,Assault,August,2016,Q3,67.0,77.0,36.0,34.0,30.0,38.0,96.0,540.0,68.0,340.0,17.0,689.0,91.0,166.0,146.0,35.0,22.0,17.0,2.0,1.0,456.0,3,3.382
SATOO,53.446373,-113.458892,Assault,March,2016,Q1,122.0,200.0,92.0,108.0,90.0,82.0,187.0,979.0,133.0,403.0,23.0,863.0,73.0,160.0,228.0,100.0,70.0,39.0,13.0,11.0,531.0,2,1.642
QUEEN MARY PARK,53.553321,-113.519654,Assault,June,2016,Q2,230.0,164.0,57.0,44.0,332.0,96.0,356.0,1971.0,510.0,376.0,119.0,2691.0,587.0,488.0,294.0,92.0,55.0,43.0,10.0,11.0,2367.0,2,6.786
BLACKMUD CREEK,53.419661,-113.510788,Robbery,September,2016,Q3,133.0,271.0,102.0,85.0,120.0,108.0,157.0,1029.0,75.0,240.0,11.0,432.0,35.0,92.0,159.0,109.0,82.0,118.0,50.0,52.0,341.0,1,1.138
MCCAULEY,53.554605,-113.485098,Robbery,January,2016,Q1,103.0,108.0,48.0,42.0,94.0,54.0,199.0,670.0,296.0,403.0,147.0,2635.0,530.0,214.0,135.0,30.0,14.0,13.0,8.0,0.0,1401.0,3,5.602
ALBANY,53.632382,-113.549464,Robbery,March,2016,Q1,100.0,69.0,22.0,4.0,29.0,45.0,50.0,417.0,40.0,46.0,16.0,445.0,10.0,56.0,63.0,30.0,9.0,14.0,13.0,3.0,350.0,1,1.302
SKYRATTLER,53.45033,-113.522873,Assault,May,2016,Q2,100.0,108.0,30.0,36.0,90.0,48.0,119.0,779.0,104.0,212.0,15.0,440.0,94.0,222.0,232.0,73.0,32.0,34.0,12.0,6.0,393.0,1,1.224
ALBANY,53.632382,-113.549464,Assault,April,2016,Q2,100.0,69.0,22.0,4.0,29.0,45.0,50.0,417.0,40.0,46.0,16.0,445.0,10.0,56.0,63.0,30.0,9.0,14.0,13.0,3.0,350.0,1,1.394
ROSENTHAL,53.519753,-113.70121,Assault,January,2016,Q1,52.0,49.0,22.0,22.0,24.0,10.0,38.0,260.0,17.0,32.0,1.0,934.0,7.0,31.0,91.0,48.0,24.0,36.0,5.0,2.0,288.0,1,1.264
EDMONTON NORTHLANDS,53.568372,-113.456446,Assault,February,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.25
EDMONTON NORTHLANDS,53.568372,-113.456446,Assault,March,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.252
ELMWOOD PARK,53.579591,-113.460917,Sexual Assaults,June,2016,Q2,44.0,53.0,17.0,13.0,16.0,24.0,45.0,244.0,78.0,114.0,40.0,405.0,72.0,79.0,53.0,20.0,10.0,8.0,2.0,0.0,311.0,1,1.198
BOYLE STREET,53.547631,-113.479263,Sexual Assaults,June,2016,Q2,121.0,111.0,36.0,31.0,151.0,54.0,300.0,1393.0,516.0,691.0,258.0,3078.0,826.0,487.0,303.0,87.0,41.0,32.0,10.0,14.0,2172.0,1,3.184
KENSINGTON,53.595863,-113.528924,Assault,July,2016,Q3,85.0,122.0,47.0,42.0,35.0,74.0,106.0,660.0,112.0,772.0,32.0,1762.0,119.0,162.0,148.0,51.0,28.0,19.0,7.0,3.0,1102.0,1,1.614
BRINTNELL,53.621394,-113.407114,Assault,January,2016,Q1,376.0,539.0,188.0,137.0,120.0,138.0,233.0,1843.0,132.0,158.0,23.0,2595.0,22.0,60.0,148.0,98.0,63.0,81.0,34.0,9.0,1581.0,2,1.314
ALBERTA AVENUE,53.568485,-113.485119,Sexual Assaults,January,2016,Q1,246.0,301.0,102.0,109.0,155.0,156.0,435.0,1861.0,369.0,508.0,171.0,2342.0,601.0,667.0,364.0,139.0,62.0,61.0,11.0,4.0,1138.0,2,3.21
ALLENDALE,53.502277,-113.504821,Robbery,May,2016,Q2,55.0,59.0,46.0,36.0,90.0,33.0,87.0,645.0,66.0,197.0,22.0,1403.0,66.0,112.0,123.0,59.0,30.0,33.0,11.0,9.0,815.0,1,1.31
SUMMERLEA,53.525627,-113.622633,Assault,January,2016,Q1,51.0,73.0,36.0,48.0,52.0,38.0,97.0,592.0,82.0,314.0,33.0,615.0,94.0,194.0,157.0,42.0,36.0,23.0,12.0,4.0,354.0,4,5.08
EASTWOOD,53.576105,-113.46873,Robbery,December,2016,Q4,123.0,144.0,68.0,62.0,66.0,73.0,138.0,857.0,229.0,379.0,142.0,1734.0,341.0,306.0,173.0,42.0,12.0,12.0,4.0,1.0,1006.0,1,3.884
THE HAMPTONS,53.487386,-113.675687,Assault,November,2016,Q4,873.0,1100.0,353.0,249.0,238.0,389.0,562.0,4177.0,292.0,273.0,23.0,3031.0,67.0,327.0,695.0,491.0,287.0,309.0,126.0,61.0,1640.0,3,1.244
CALLINGWOOD NORTH,53.507598,-113.623025,Assault,June,2016,Q2,152.0,167.0,56.0,37.0,56.0,52.0,117.0,882.0,134.0,177.0,29.0,517.0,126.0,247.0,207.0,50.0,14.0,8.0,5.0,2.0,450.0,3,1.772
BELMEAD,53.525603,-113.641015,Assault,September,2016,Q3,151.0,272.0,143.0,121.0,123.0,108.0,247.0,1225.0,146.0,434.0,56.0,1599.0,131.0,231.0,201.0,102.0,65.0,52.0,25.0,10.0,825.0,1,2.034
INDUSTRIAL HEIGHTS,53.580983,-113.437473,Assault,December,2016,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.43
CHAPPELLE AREA,53.403081,-113.586844,Assault,August,2016,Q3,206.0,151.0,35.0,27.0,28.0,67.0,68.0,787.0,62.0,52.0,1.0,2829.0,22.0,101.0,266.0,166.0,104.0,108.0,32.0,23.0,820.0,1,1.228
SUMMERLEA,53.525627,-113.622633,Assault,October,2016,Q4,51.0,73.0,36.0,48.0,52.0,38.0,97.0,592.0,82.0,314.0,33.0,615.0,94.0,194.0,157.0,42.0,36.0,23.0,12.0,4.0,354.0,4,5.088
WEST JASPER PLACE,53.53663,-113.584144,Robbery,June,2016,Q2,85.0,80.0,32.0,38.0,41.0,89.0,139.0,770.0,148.0,268.0,40.0,1338.0,169.0,309.0,83.0,27.0,22.0,14.0,7.0,4.0,839.0,1,2.01
EASTGATE BUSINESS PARK,53.534014,-113.406351,Assault,April,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.77
CALGARY TRAIL NORTH,53.490156,-113.494069,Assault,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.78
MEYONOHK,53.455342,-113.457243,Robbery,May,2016,Q2,94.0,151.0,59.0,53.0,53.0,73.0,126.0,659.0,77.0,239.0,30.0,1246.0,47.0,138.0,156.0,62.0,23.0,28.0,8.0,0.0,650.0,1,1.114
SCHONSEE,53.632362,-113.455146,Assault,December,2016,Q4,199.0,275.0,97.0,87.0,87.0,105.0,154.0,1114.0,76.0,260.0,20.0,355.0,91.0,114.0,179.0,96.0,56.0,79.0,31.0,25.0,345.0,1,1.494
KEHEEWIN,53.450243,-113.504513,Assault,April,2016,Q2,44.0,81.0,24.0,37.0,56.0,38.0,92.0,500.0,46.0,441.0,18.0,1125.0,68.0,144.0,138.0,70.0,33.0,38.0,14.0,15.0,695.0,2,1.654
UNIVERSITY OF ALBERTA FARM,53.498184,-113.532001,Assault,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.214
WEST JASPER PLACE,53.53663,-113.584144,Assault,November,2016,Q4,85.0,80.0,32.0,38.0,41.0,89.0,139.0,770.0,148.0,268.0,40.0,1338.0,169.0,309.0,83.0,27.0,22.0,14.0,7.0,4.0,839.0,2,3.042
ROYAL GARDENS,53.479419,-113.528055,Robbery,March,2016,Q1,126.0,184.0,94.0,95.0,125.0,58.0,170.0,855.0,141.0,371.0,24.0,1150.0,121.0,199.0,224.0,68.0,31.0,38.0,19.0,7.0,695.0,1,1.452
PARKDALE,53.565716,-113.47135,Sexual Assaults,October,2016,Q4,97.0,104.0,44.0,35.0,92.0,82.0,150.0,774.0,126.0,270.0,77.0,1481.0,253.0,209.0,192.0,48.0,17.0,6.0,3.0,2.0,872.0,1,1.33
KEHEEWIN,53.450243,-113.504513,Robbery,January,2016,Q1,44.0,81.0,24.0,37.0,56.0,38.0,92.0,500.0,46.0,441.0,18.0,1125.0,68.0,144.0,138.0,70.0,33.0,38.0,14.0,15.0,695.0,1,1.408
WOODCROFT,53.564595,-113.558327,Sexual Assaults,November,2016,Q4,76.0,88.0,40.0,35.0,56.0,30.0,96.0,522.0,63.0,579.0,36.0,523.0,214.0,121.0,107.0,32.0,24.0,29.0,6.0,5.0,642.0,1,1.41
HENDERSON ESTATES,53.467635,-113.597447,Sexual Assaults,December,2016,Q4,46.0,119.0,69.0,75.0,126.0,65.0,117.0,558.0,53.0,304.0,10.0,263.0,14.0,34.0,61.0,48.0,50.0,50.0,34.0,97.0,226.0,1,1.084
