Model,Training Score,Testing Score
XGBoost,0.9606920250540636,0.6784921922515138
Gradient Boosting,0.8877250786609197,0.6764121820018721
Random Forest,0.9781024314997367,0.6465641904908686
Extra Trees,1.0,0.6234794444016337
SGD,0.4817817443722492,0.2962250180654068
Linear Regression,0.5381614930805529,0.26332653815097684
Elastic Net,0.15966303070498866,0.14975336379961135
